"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","DemoQA","0","Dropdown / Select","1","0","Multi-select dropdown","0"
"0","DemoQA BookStore","0","BookStore Homepage","1","0","Book search","0"
"0","DemoQA","0","File Upload","1","0","Browser file upload","0"
"0","DemoQA","0","iFrame Interactions","2","0","Switch into frame and read content","0"
"0","DemoQA","0","Alerts / Popups","1","0","Simple alert","0"
"0","DemoQA","0","Dropdown / Select","1","0","Single-select dropdown by value","0"
"0","Amazon Web Automation","0","Authentication","1","0","Invalid login","0"
"0","DemoQA","0","Alerts / Popups","1","0","Confirm popup — accept","0"
"0","DemoQA","0","Alerts / Popups","1","0","Prompt popup","0"
"0","DemoQA BookStore","0","BookStore Homepage","1","0","Homepage verification","0"
"0","DemoQA","0","Dropdown / Select","1","0","Single-select dropdown","0"
"0","Amazon Web Automation","0","Authentication","1","0","Valid login","0"
