"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Switch into Frame 2, read the heading text, then switch back to main page.","1680","Read heading text from Frame 2","DemoQA Automation Suite","2026-07-13","passed","2026-07-13","tests.FrameTest","Frame Tests","tests.FrameTest","testReadTextFromFrame2"
"Click the Alert button, read the alert text, and accept it.","1817","Handle a simple alert popup","DemoQA Automation Suite","2026-07-13","passed","2026-07-13","tests.AlertsTest","Alerts Tests","tests.AlertsTest","testSimpleAlert"
"Navigate to the BookStore URL and verify the page header and Login button are visible.","2448","Verify user is on the BookStore homepage","DemoQA Automation Suite","2026-07-13","passed","2026-07-13","tests.HomePageTest","Bookstore Homepage Tests","tests.HomePageTest","testHomepageLoads"
"Locate the upload input, send a file path, and verify the uploaded filename is shown.","1629","Upload a file and verify the filename appears on screen","DemoQA Automation Suite","2026-07-13","passed","2026-07-13","tests.FileUploadTest","File Upload Tests","tests.FileUploadTest","testFileUpload"
"Navigate to the BookStore, click Login, enter valid credentials, and verify the Profile page loads.","4768","Login successfully with valid credentials","DemoQA Automation Suite","2026-07-13","passed","2026-07-13","tests.LoginTest","Login Tests","tests.LoginTest","testValidLogin"
"Switch into Frame 1, read the heading text, then switch back to main page.","1742","Read heading text from Frame 1","DemoQA Automation Suite","2026-07-13","passed","2026-07-13","tests.FrameTest","Frame Tests","tests.FrameTest","testReadTextFromFrame1"
"Attempt login with wrong credentials and verify the user stays on the Login page.","4131","Login fails with invalid credentials","DemoQA Automation Suite","2026-07-13","passed","2026-07-13","tests.LoginTest","Login Tests","tests.LoginTest","testInvalidLogin"
"Use selectByValue() and verify the displayed text reflects the correct option.","1772","Select an option from the dropdown by its value attribute","DemoQA Automation Suite","2026-07-13","passed","2026-07-13","tests.DropdownTest","Dropdown Tests","tests.DropdownTest","testSelectByValue"
"Click the Confirm button, accept the dialog, and verify the result message.","1846","Handle confirm popup — click OK","DemoQA Automation Suite","2026-07-13","passed","2026-07-13","tests.AlertsTest","Alerts Tests","tests.AlertsTest","testConfirmPopupAccept"
"Click the Prompt button, type a name, accept, and verify the result contains that name.","2782","Handle prompt popup — type text and confirm","DemoQA Automation Suite","2026-07-13","passed","2026-07-13","tests.AlertsTest","Alerts Tests","tests.AlertsTest","testPromptPopup"
"Select 'Volvo' and 'Audi' simultaneously and verify both are selected.","2210","Select multiple options from the multi-select list","DemoQA Automation Suite","2026-07-13","passed","2026-07-13","tests.DropdownTest","Dropdown Tests","tests.DropdownTest","testMultiSelect"
"Use Selenium's Select class to pick an option by visible text and verify the selection.","1723","Select an option from the old-style select dropdown","DemoQA Automation Suite","2026-07-13","passed","2026-07-13","tests.DropdownTest","Dropdown Tests","tests.DropdownTest","testSelectByText"
"Type 'Git' in the search box and verify 'Git Pocket Guide' appears in the table.","1835","Search for a book and verify it appears in the results table","DemoQA Automation Suite","2026-07-13","passed","2026-07-13","tests.HomePageTest","Bookstore Homepage Tests","tests.HomePageTest","testSearchBook"
